Do you have a car ? / Avez-vous une voiture ?,Do you have a driving license ? / Avez-vous le permis ?,Research informations / La recherche d'informations,Prepare your budget / Préparer son budget,Compare offers / Comparer les offres,Drive the car / Conduire la voiture,Negotiate the deal / Négocier l'offre,The delivery of your car / La réception de la voiture,What is your gender ? quel est votre genre ?,How old are you ? quel est votre age ?,Where do you live ? (Country) / Où vivez-vous ? (Pays)
1,1,3,5,5,4,3,2,Male,18-30,France
0,0,5,5,5,1,5,5,Female,50-60,France 
0,1,4,5,4,4,3,3,Male,18-30,France
1,1,3,5,4,4,2,3,Female,18-30,France
1,1,4,5,4,4,3,4,Male,18-30,France
0,0,5,5,4,3,3,3,Male,30-40,France
1,1,4,4,5,4,3,4,Male,18-30,France
1,1,5,5,5,4,5,5,Male,18-30,France 
1,1,2,5,5,3,3,2,Male,18-30,The Netherlands
1,1,4,5,4,4,3,1,Male,18-30,France
1,1,4,4,5,3,3,4,Male,18-30,France
0,1,3,2,1,4,5,1,Female,18-30,France
0,1,3,5,4,3,3,2,Male,18-30,France
1,1,4,5,3,4,3,1,Female,30-40,France 
1,1,4,5,4,4,2,2,Female,30-40,France
1,1,4,5,3,3,2,2,Female,18-30,France
0,0,4,4,4,5,3,4,Male,18-30,Roumanie
0,1,5,5,5,4,3,3,Female,18-30,France
0,1,4,4,4,2,2,3,Male,18-30,France
0,0,5,5,5,5,5,4,Female,18-30,Canada
1,1,5,5,4,4,3,3,Female,18-30,Malaysia
1,1,5,4,3,4,5,4,Female,18-30,Lebanon
1,1,5,5,4,4,5,3,Male,70+,France
0,0,1,2,3,5,4,3,Female,18-30,China
1,1,4,5,5,4,4,3,Female,30-40,France
1,1,5,5,5,5,3,4,Male,18-30,France
1,1,5,4,3,5,3,2,Male,18-30,India
0,1,5,5,5,5,5,3,Female,30-40,Singapore
1,1,5,4,4,5,3,3,Male,18-30,France
1,1,4,5,3,5,3,3,Female,18-30,France
1,1,5,5,5,4,4,4,Male,30-40,France
1,1,5,5,5,5,4,5,Male,18-30,France
1,1,5,5,5,4,5,2,Female,50-60,France 
1,1,2,5,4,3,1,2,Male,60-70,France
1,1,5,5,5,5,5,5,Female,50-60,France 
1,1,5,5,5,4,3,5,Female,18-30,France
1,1,4,5,5,5,4,5,Female,50-60,France 
1,1,4,3,5,3,1,1,Male,18-30,Italy
1,1,5,5,5,3,5,4,Female,60-70,France
1,1,5,5,5,5,5,5,Male,50-60,USA
1,1,5,5,5,5,5,5,Female,50-60,FRANCE 
1,1,2,4,3,4,5,4,Female,18-30,France 
1,1,5,5,4,5,5,4,Female,60-70,France
0,1,4,5,5,5,3,2,Female,18-30,France 
1,1,5,5,5,4,4,3,Female,18-30,USA
1,1,4,5,4,5,3,2,Female,18-30,France 
1,1,3,5,4,5,5,5,Male,18-30,France
1,1,3,5,5,5,1,3,Female,18-30,France
1,1,2,1,3,4,5,5,Male,18-30,France 
1,1,5,3,3,5,4,3,Male,18-30,France
1,1,3,4,5,5,5,5,Female,30-40,France
1,1,5,5,4,4,3,3,Female,30-40,France 
1,1,5,5,5,5,3,5,Female,18-30,France 
1,1,3,4,5,4,4,4,Male,18-30,France
1,1,3,4,4,4,3,3,Female,18-30,France
1,1,5,4,5,5,2,5,Male,18-30,France 
1,1,4,5,3,5,3,3,Female,18-30,France
1,1,4,5,4,4,1,4,Female,18-30,France
1,1,4,4,5,4,2,4,Male,18-30,France
1,1,5,5,5,5,4,5,Female,30-40,France
1,1,4,5,3,5,3,5,Female,50-60,France
1,1,4,5,2,4,3,1,Female,18-30,France
1,1,5,5,4,4,4,5,Female,30-40,France
0,0,5,5,3,3,2,1,Female,30-40,France 
1,1,5,5,5,3,3,5,Female,18-30,France
1,1,4,5,5,4,3,5,Female,18-30,France 
1,1,5,5,5,1,3,1,Male,18-30,France
1,1,5,5,5,5,5,3,Male,18-30,France
1,1,5,5,5,2,3,3,Female,30-40,France
